Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,City,Gender,Country,Clicked on Ad
72.92,,69428.73,217.1,Port Melissastad,Male,Czech Republic,0
77.14,24,60283.98,184.88,Janiceview,Male,Iceland,0
60.7,43,79332.33,192.6,Mataberg,Male,Palau,0
34.3,41,53167.68,160.74,West Melaniefurt,Male,Libyan Arab Jamahiriya,1
83.71,45,64564.07,220.48,Millerfort,Male,Kazakhstan,0
53.38,35,60803.37,120.06,Alexanderview,Male,French Guiana,1
58.03,31,28387.42,129.33,South Jade,Female,Tuvalu,1
43.59,36,58849.77,132.31,Lake Susan,Male,Congo,1
60.07,42,65963.37,120.75,South Vincentchester,Male,United Kingdom,1
54.43,37,75180.2,154.74,Williamsmouth,Male,Luxembourg,1
81.99,33,61270.14,230.9,Taylorport,Female,French Polynesia,0
60.53,29,56759.48,123.28,Williamsport,Female,Papua New Guinea,1
84.69,31,46160.63,231.85,Emilyfurt,Male,Maldives,0
88.72,32,43870.51,211.87,East John,Male,Zambia,0
88.89,35,50439.49,218.8,East Deborahhaven,Male,Cook Islands,0
69.58,43,28028.74,255.07,Port Katelynview,Female,Congo,1
85.23,36,64238.71,212.92,Paulhaven,Male,Senegal,0
83.55,39,65816.38,221.18,Elizabethmouth,Male,Myanmar,0
56.66,42,72684.44,139.42,Lake Jesus,Female,Dominican Republic,1
56.39,27,38817.4,248.12,North Tylerland,Male,Bahrain,0
76.24,27,63976.44,214.42,Munozberg,Female,Puerto Rico,0
57.64,36,37212.54,110.25,North Maryland,Male,Chile,1
78.18,23,52691.79,167.67,West Barbara,Female,Bolivia,0
46.04,32,65499.93,147.92,Andrewborough,Female,Serbia,1
79.4,35,63966.72,236.87,New Gabriel,Female,Malaysia,0
36.44,39,52400.88,147.64,Port Patrickton,Male,Estonia,1
53.14,38,49111.47,109,West Julia,Male,Greenland,1
32.84,40,41232.89,171.72,New Keithburgh,Female,Trinidad and Tobago,1
73.72,32,52140.04,256.4,Richardsland,Male,Thailand,0
38.1,34,60641.09,214.38,North Aaronchester,Male,Philippines,1
73.93,44,74180.05,218.22,Lake Matthewland,Female,Niue,0
51.87,50,51869.87,119.65,Kevinberg,Female,Afghanistan,1
77.69,22,48852.58,169.88,Morganfort,Male,Angola,0
43.41,28,59144.02,160.73,Lovemouth,Female,Egypt,1
55.92,24,33951.63,145.08,Taylorhaven,Female,Fiji,1
80.67,34,58909.36,239.76,Jamesville,Female,Portugal,0
83.42,25,49850.52,183.42,East Toddfort,Male,Austria,0
82.12,52,28679.93,201.15,East Dana,Male,Germany,1
66.17,33,69869.66,238.45,West Lucas,Female,Panama,0
43.01,35,48347.64,127.37,Butlerfort,Female,United States of America,1
80.05,25,45959.86,219.94,Lindaside,Male,Christmas Island,0
64.88,42,70005.51,129.8,West Chloeborough,Male,Equatorial Guinea,1
79.82,26,51512.66,223.28,Jayville,Male,Micronesia,0
48.03,40,25598.75,134.6,East Lindsey,Male,Malta,1
32.99,45,49282.87,177.46,Masseyshire,Female,Ecuador,1
74.88,27,67240.25,175.17,Sarahton,Male,Sudan,0
36.49,52,42136.33,196.61,Ryanhaven,Male,Lao People's Democratic Republic,1
88.04,45,62589.84,191.17,Lake Deborahburgh,Male,Saint Vincent and the Grenadines,0
45.7,33,67384.31,151.12,New Williammouth,Male,Switzerland,1
82.38,35,25603.93,159.6,Port Blake,Female,Spain,1
52.68,23,39616,149.2,West Richard,Male,Turks and Caicos Islands,1
65.59,47,28265.81,121.81,Brandymouth,Female,Indonesia,1
65.65,25,63879.72,224.92,Sandraville,Male,Cook Islands,0
43.84,36,70592.81,167.42,Port Jessica,Female,Australia,1
67.69,37,76408.19,216.57,Lake Jasonchester,Female,Finland,0
78.37,24,55015.08,207.27,Pearsonfort,Female,Pakistan,0
81.46,29,51636.12,231.54,Sellerstown,Female,Ireland,0
47.48,31,29359.2,141.34,Yuton,Female,Eritrea,1
75.15,33,71296.67,219.49,Smithtown,Male,France,0
78.76,24,46422.76,219.98,Joanntown,Male,Austria,0
44.96,50,52802,132.71,South Peter,Male,Heard Island and McDonald Islands,1
39.56,41,59243.46,143.13,Port Mitchell,Male,Western Sahara,1
39.76,28,35350.55,196.83,Pottermouth,Male,Liberia,1
57.11,22,59677.64,207.17,Lake Jonathanview,Male,Dominican Republic,0
83.26,40,70225.6,187.76,Alanview,Male,Tonga,0
69.42,25,65791.17,213.38,Carterport,Female,Lao People's Democratic Republic,0
50.6,30,34191.13,129.88,New Daniellefort,Male,United States of America,1
46.2,37,51315.38,119.3,Welchshire,Female,Belgium,1
66.88,35,62790.96,119.47,Russellville,Male,Indonesia,1
83.97,40,66291.67,158.42,West Lisa,Male,Croatia,0
76.56,30,68030.18,213.75,Greentown,Female,Brunei Darussalam,0
35.49,48,43974.49,159.77,Timothyport,Female,American Samoa,1
80.29,31,49457.48,244.87,Teresahaven,Male,Netherlands Antilles,0
50.19,40,33987.27,117.3,Lake Stephenborough,Female,Thailand,1
59.12,33,28210.03,124.54,Silvaton,Female,Greece,1
59.88,30,75535.14,193.63,West Michaelstad,Male,French Polynesia,0
59.7,28,49158.5,120.25,Florestown,Female,Guernsey,1
67.8,30,39809.69,117.75,New Jay,Male,Isle of Man,1
81.59,35,65826.53,223.16,North Lisachester,Female,Holy See (Vatican City State),0
81.1,29,61172.07,216.49,Port Stacy,Male,El Salvador,0
41.7,39,42898.21,126.95,Jensenton,Female,China,1
73.94,27,68333.01,173.49,North Alexandra,Female,Myanmar,0
58.35,37,70232.95,132.63,Rivasland,Female,Macao,1
51.56,46,63102.19,124.85,Helenborough,Female,Australia,1
79.81,37,51847.26,253.17,Garnerberg,Female,United States Virgin Islands,0
66.17,26,63580.22,228.7,North Anaport,Female,Mexico,0
58.21,37,47575.44,105.94,Pattymouth,Female,Djibouti,1
66.12,49,39031.89,113.8,South Alexisborough,Female,Cote d'Ivoire,1
80.47,42,70505.06,215.18,East Jennifer,Male,Mali,0
77.05,31,62161.26,236.64,Hallfort,Female,Jamaica,0
49.99,41,61068.26,121.07,New Charleschester,Female,Romania,1
80.3,58,49090.51,173.43,East Breannafurt,Female,Cayman Islands,1
79.36,33,62330.75,234.72,East Susanland,Male,Gambia,0
57.86,30,18819.34,166.86,Estesfurt,Female,Algeria,1
70.29,26,62053.37,231.37,Shirleyfort,Male,Puerto Rico,0
84.53,33,61922.06,215.18,Douglasview,Male,Norfolk Island,0
59.13,44,49525.37,106.04,South Lisa,Male,Turkey,1
81.51,,53412.32,250.03,Kingshire,Female,Guinea,0
42.94,37,56681.65,130.4,Rebeccamouth,Male,Moldova,1
84.81,32,43299.63,233.93,Brownbury,Male,Greece,0
82.79,34,47997.75,132.08,South Aaron,Female,American Samoa,1
59.22,55,39131.53,126.39,North Andrew,Male,Honduras,1
35,40,46033.73,151.25,South Walter,Male,Mongolia,1
46.61,42,65856.74,136.18,Catherinefort,Female,Ethiopia,1
63.26,29,54787.37,120.46,East Donna,Male,Ethiopia,1
79.16,32,69562.46,202.9,East Timothy,Male,Sri Lanka,0
67.94,43,68447.17,128.16,North Kimberly,Female,Morocco,1
79.91,32,62772.42,230.18,South Stephanieport,Male,United Arab Emirates,0
66.14,41,78092.95,165.27,North Isabellaville,Female,Western Sahara,0
43.65,39,63649.04,138.87,North Aaronburgh,Female,Western Sahara,1
59.61,21,60637.62,198.45,Port James,Male,Cambodia,0
46.61,52,27241.11,156.99,Danielview,Female,New Zealand,1
89.37,34,42760.22,162.03,Port Stacey,Male,Australia,0
65.1,49,59457.52,118.1,West Kevinfurt,Male,Bulgaria,1
53.44,42,42907.89,108.17,Lake Jennifer,Male,Libyan Arab Jamahiriya,1
79.53,51,46132.18,244.91,Reyesfurt,Female,Barbados,0
91.43,39,46964.11,209.91,West Carmenfurt,Male,French Polynesia,0
73.57,30,70377.23,212.38,North Stephanieberg,Female,Uruguay,0
78.76,32,70012.83,208.02,East Valerie,Male,Uruguay,0
76.49,23,56457.01,181.11,Sherrishire,Female,Brazil,0
61.72,26,67279.06,218.49,Port Daniel,Female,Venezuela,0
84.53,35,54773.99,236.29,Brownview,Female,Myanmar,0
72.03,34,70783.94,230.95,Greerton,Male,Malta,0
77.47,36,70510.59,222.91,Hatfieldshire,Male,Jamaica,0
75.65,39,64021.55,247.9,Brianabury,Male,Bahrain,0
78.15,33,72042.85,194.37,New Maria,Female,Algeria,0
63.8,38,36037.33,108.7,Colebury,Male,Tuvalu,1
76.59,29,67526.92,211.64,Calebberg,Female,Georgia,0
42.6,55,55121.65,168.29,Lake Ian,Female,Cambodia,1
78.77,28,63497.62,211.83,Gomezport,Female,Guam,0
83.4,39,60879.48,235.01,Shaneland,Female,Tanzania,0
79.53,33,61467.33,236.72,East Aaron,Female,Indonesia,0
73.89,35,70495.64,229.99,Dustinborough,Male,Somalia,0
75.8,36,71222.4,224.9,East Michaelland,Female,Belize,0
81.95,31,64698.58,208.76,East Connie,Male,Serbia,0
56.39,58,32252.38,154.23,West Shannon,Female,Australia,1
44.73,35,55316.97,127.56,North Lauraland,Male,Guam,1
38.35,33,47447.89,145.48,Port Christopher,Male,Christmas Island,1
72.53,37,73474.82,223.93,South Patrickfort,Female,Papua New Guinea,0
56.2,49,53549.94,114.85,East Georgeside,Male,Bahamas,1
79.67,28,58576.12,226.79,Charlesbury,Female,Comoros,0
75.42,26,63373.7,164.25,Millertown,Male,Western Sahara,0
78.64,31,60283.47,235.28,South Renee,Male,Nicaragua,0
67.69,44,37345.34,109.22,South Jackieberg,Female,Guam,1
38.35,41,34886.01,144.69,Loriville,Male,Vanuatu,1
59.52,44,67511.86,251.08,Amandaland,Male,Bolivia,0
62.26,37,77988.71,166.19,West Robertside,Female,Malawi,0
64.75,36,63001.03,117.66,North Sarashire,Female,Venezuela,1
79.97,26,61747.98,185.45,Port Maria,Male,Nepal,0
47.9,42,48467.68,114.53,East Jessefort,Female,United Kingdom,1
80.38,30,55130.96,238.06,Port Anthony,Female,Albania,0
64.51,42,79484.8,190.71,Edwardmouth,Male,Madagascar,0
71.28,37,67307.43,246.72,Dustinchester,Male,Guyana,0
50.32,40,27964.6,125.65,Rochabury,Female,Yemen,1
72.76,33,66431.87,240.63,Williamsport,Male,India,0
72.8,35,63551.67,249.54,Austinland,Female,Puerto Rico,0
74.59,23,40135.06,158.35,Lake Gerald,Male,United States Virgin Islands,1
46.66,45,49101.67,118.16,Wrightview,Female,Antigua and Barbuda,1
48.86,54,53188.69,134.46,Perryburgh,Female,French Guiana,1
37.05,39,49742.83,142.81,Tracyhaven,Male,Antigua and Barbuda,1
81.21,36,63394.41,233.04,South Jaimeview,Female,Turkmenistan,0
66.89,23,64433.99,208.24,Sandersland,Male,Honduras,0
68.11,38,73884.48,231.21,South Meredithmouth,Female,Seychelles,0
69.15,46,36424.94,112.72,Richardsonshire,Female,Cyprus,1
65.72,36,28275.48,120.12,Kimberlymouth,Female,Saint Pierre and Miquelon,1
40.04,27,48098.86,161.58,Meghanchester,Female,Poland,1
68.6,33,68448.94,135.08,Tammyshire,Female,Taiwan,1
56.16,25,66429.84,164.25,Millerbury,Male,Cote d'Ivoire,1
78.6,46,41768.13,254.59,Lake Elizabethside,Male,Micronesia,0
78.29,38,57844.96,252.07,Villanuevaton,Female,Liberia,0
43.83,45,35684.82,129.01,Greerport,Female,Saudi Arabia,1
77.31,32,62792.43,238.1,North Garyhaven,Female,Nepal,0
39.86,28,51171.23,161.24,East Sharon,Female,Ghana,1
66.77,25,58847.07,141.13,Johnstonmouth,Female,Iran,1
57.2,42,57739.03,110.66,East Heatherside,Female,New Zealand,1
73.15,25,64631.22,211.12,Lake Patrick,Male,,0
82.07,24,50337.93,193.97,Richardsonmouth,Female,Sri Lanka,0
49.84,38,67781.31,135.24,Jenniferhaven,Male,United Arab Emirates,1
43.97,36,68863.95,156.97,Boyerberg,Male,Indonesia,1
77.25,27,55901.12,231.38,Port Elijah,Male,Saint Vincent and the Grenadines,0
74.84,37,64775.1,246.44,Knappburgh,Male,,0
83.53,36,67686.16,204.56,New Dawnland,Female,Honduras,0
38.63,48,57777.11,222.11,Chapmanmouth,Female,Papua New Guinea,1
84,48,46868.53,136.21,Robertside,Male,Kyrgyz Republic,1
52.13,50,40926.93,118.27,West Raymondmouth,Male,Ethiopia,1
71.83,40,22205.74,135.48,Costaburgh,Male,Rwanda,1
78.36,24,58920.44,196.77,Kristineberg,Male,Kyrgyz Republic,0
50.18,35,63006.14,127.82,Sandrashire,Male,Grenada,1
64.67,51,24316.61,138.35,Andersonfurt,Male,Togo,1
69.5,26,68348.99,203.84,Tranland,Female,Pakistan,0
65.22,30,66263.37,240.09,Michaelland,Male,Falkland Islands (Malvinas),0
62.06,40,63493.6,116.27,East Rachaelfurt,Male,Jersey,1
84.29,30,56984.09,160.33,Lake Johnbury,Male,Cayman Islands,1
32.91,37,51691.55,181.02,Elizabethstad,Female,South Africa,1
39.5,31,49911.25,148.19,West Brad,Male,Micronesia,1
75.19,31,33502.57,245.76,Johnstonshire,Male,Tajikistan,0
76.21,31,65834.97,228.94,Lake Timothy,Male,Bolivia,0
,31,66176.97,242.59,Anthonyfurt,Female,Cameroon,0
40.01,53,51463.17,161.77,East Brettton,Female,Ecuador,1
52.7,41,41059.64,109.34,New Matthew,Male,Zambia,1
68.41,38,61428.18,259.76,Christopherchester,Female,Guinea-Bissau,0
35.55,39,51593.46,151.18,Westshire,Female,Micronesia,1
74.54,24,57518.73,219.75,Alexisland,Female,Bahamas,0
81.75,24,52656.13,190.08,Kevinchester,Male,Cape Verde,0
87.85,31,52178.98,210.27,New Patriciashire,Male,French Polynesia,0
60.23,60,46239.14,151.54,Port Brenda,Male,Saudi Arabia,1
87.97,35,48918.55,149.25,Port Brianfort,Male,France,0
78.17,27,65227.79,192.27,Portermouth,Male,Burundi,0
67.91,23,55002.05,146.8,Hubbardmouth,Male,Latvia,1
85.77,27,52261.73,191.78,South Brian,Male,Morocco,0
41.16,49,59448.44,150.83,Hendrixmouth,Male,Venezuela,1
53.54,39,47314.45,108.03,Julietown,Female,Palau,1
73.94,26,55411.06,236.15,Lukeport,Male,,0
63.43,29,66504.16,236.75,New Shane,Male,Peru,0
84.59,36,47169.14,241.8,Lake Jillville,Male,Belgium,0
70.13,31,70889.68,224.98,Johnsonfort,Female,Croatia,0
40.19,37,55358.88,136.99,Adamsbury,Female,France,1
58.95,55,56242.7,131.29,East Maureen,Male,Slovenia,1
35.76,51,45522.44,195.07,North Angelastad,Female,Peru,1
59.36,49,46931.03,110.84,Amandafort,Female,Belarus,1
91.1,40,55499.69,198.13,Michaelmouth,Male,Bolivia,0
61.04,41,75805.12,149.21,Ronaldport,Female,Benin,1
74.06,23,40345.49,225.99,Port Davidland,Female,Wallis and Futuna,0
64.63,45,15598.29,158.8,Isaacborough,Male,Azerbaijan,1
81.29,28,33239.2,219.72,Lake Michael,Female,Mongolia,0
76.07,36,68033.54,235.56,West Michaelshire,Female,Denmark,0
75.92,22,38427.66,182.65,Port Calvintown,Female,Russian Federation,0
78.35,46,53185.34,253.48,Parkerhaven,Female,Brazil,0
46.14,28,39723.97,137.97,Markhaven,Male,Ethiopia,1
44.33,41,43386.07,120.63,Estradashire,Female,Guyana,1
46.43,28,53922.43,137.2,Brianland,Male,Ethiopia,1
66.04,27,71881.84,199.76,Cassandratown,Female,Mauritius,0
84.31,29,47139.21,225.87,West Dannyberg,Female,Djibouti,0
83.66,38,68877.02,175.14,East Debraborough,Female,Syrian Arab Republic,0
81.25,33,65186.58,222.35,Frankchester,Male,Saint Martin,0
85.26,32,55424.24,224.07,Lisafort,Male,Netherlands Antilles,0
86.53,46,46500.11,233.36,Colemanshire,Female,Greece,0
76.44,26,58820.16,224.2,Troyville,Male,Madagascar,0
52.84,43,28495.21,122.31,Hobbsbury,Female,Senegal,1
85.24,31,61840.26,182.84,Harrisonmouth,Male,Burkina Faso,0
74.71,46,37908.29,258.06,Port Eugeneport,Male,Czech Republic,0
82.95,39,69805.7,201.29,Karenmouth,Female,Lao People's Democratic Republic,0
76.42,26,60315.19,223.16,Brendaburgh,Male,Netherlands Antilles,0
42.04,49,67323,182.11,New Christinatown,Female,Qatar,1
46.28,26,50055.33,228.78,Jacksonstad,Male,Andorra,1
48.26,50,43573.66,122.45,South Margaret,Male,Liechtenstein,1
71.03,55,28186.65,150.77,Port Georgebury,Female,China,1
81.37,33,66412.04,215.04,New Jessicaport,Female,Vietnam,0
58.05,32,15879.1,195.54,Sanderstown,Male,Tajikistan,1
75,29,63965.16,230.36,Perezland,Male,Eritrea,0
79.61,31,58342.63,235.97,Luisfurt,Female,Monaco,0
52.56,31,33147.19,250.36,New Karenberg,Male,Israel,1
62.18,33,65899.68,126.44,West Leahton,Female,Hungary,1
77.89,26,64188.5,201.54,West Sharon,Female,Singapore,0
66.08,61,58966.22,184.23,Klineside,Male,Cuba,1
89.21,33,44078.24,210.53,Lake Cynthia,Female,Reunion,0
49.96,55,60968.62,151.94,South Cynthiashire,Male,Zambia,1
77.44,28,65620.25,210.39,Lake Jacob,Female,Gabon,0
82.58,38,65496.78,225.23,West Samantha,Male,Dominica,0
39.36,29,52462.04,161.79,Jeremybury,Male,Bahamas,1
47.23,38,70582.55,149.8,Blevinstown,Male,Tokelau,1
87.85,34,51816.27,153.01,Meyerchester,Female,Turkmenistan,0
65.57,46,23410.75,130.86,Reginamouth,Female,Belgium,1
78.01,26,62729.4,200.71,Donaldshire,Male,French Guiana,0
44.15,28,48867.67,141.96,Salazarbury,Male,Martinique,1
43.57,36,50971.73,125.2,Lake Joshuafurt,Male,French Polynesia,1
69.47,26,59785.94,236.5,,Female,San Marino,0
76.83,28,67990.84,192.81,Wintersfort,Female,Ecuador,0
42.06,34,43241.19,131.55,Jamesmouth,Female,Puerto Rico,1
76.27,27,60082.66,226.69,Laurieside,Male,United Arab Emirates,0
74.27,37,65180.97,247.05,Andrewmouth,Male,Burkina Faso,0
73.27,28,67301.39,216.24,West Angela,Male,Luxembourg,0
74.58,36,70701.31,230.52,East Carlos,Female,Jamaica,0
77.5,28,60997.84,225.34,Kennedyfurt,Male,Antarctica (the territory South of 60 deg S),0
87.16,33,60805.93,197.15,Blairville,Female,China,0
87.16,37,50711.68,231.95,East Donnatown,Male,Western Sahara,0
66.26,47,14548.06,179.04,Matthewtown,Male,Lebanon,1
65.15,29,41335.84,117.3,Brandonbury,Female,Hong Kong,1
68.25,33,76480.16,198.86,New Jamestown,Male,Vanuatu,0
73.49,38,67132.46,244.23,Mosleyburgh,Female,Vanuatu,0
39.19,54,52581.16,173.05,Leahside,Female,Guatemala,1
80.15,25,55195.61,214.49,West Wendyland,Female,Greenland,0
86.76,28,48679.54,189.91,Lawrenceborough,Female,Syrian Arab Republic,0
73.88,29,63109.74,233.61,Kennethview,Female,Saint Helena,0
58.6,19,44490.09,197.93,West Mariafort,Male,Lebanon,0
69.77,54,57667.99,132.27,Port Sherrystad,Female,Malta,1
87.27,30,51824.01,204.27,West Melissashire,Male,Christmas Island,1
77.65,28,66198.66,208.01,Pamelamouth,Female,Ukraine,0
76.02,,73174.19,219.55,Lesliefort,Female,Malta,0
78.84,26,56593.8,217.66,Shawnside,Male,Italy,0
71.33,23,31072.44,169.4,Josephmouth,Female,Japan,1
81.9,41,66773.83,225.47,Garciatown,Female,Mauritius,0
46.89,48,72553.94,176.78,Chaseshire,Male,Turkey,1
77.8,57,43708.88,152.94,Destinyfurt,Female,Namibia,1
45.44,43,48453.55,119.27,Mezaton,Female,China,1
69.96,31,73413.87,214.06,New Kayla,Male,Netherlands,0
87.35,35,58114.3,158.29,Carsonshire,Male,Gibraltar,0
49.42,53,45465.25,128,Jacquelineshire,Male,Congo,1
71.27,21,50147.72,216.03,South Blakestad,Male,Senegal,0
49.19,38,61004.51,123.08,North Mark,Female,Hungary,1
39.96,35,53898.89,138.52,Kingchester,Male,Pitcairn Islands,1
85.01,29,59797.64,192.5,Evansfurt,Female,Slovakia (Slovak Republic),0
68.95,51,74623.27,185.85,South Adamhaven,Male,United States Virgin Islands,0
67.59,45,58677.69,113.69,Brittanyborough,Female,Monaco,1
75.71,34,62109.8,246.06,Barbershire,Female,Portugal,0
43.07,36,60583.02,137.63,East Ericport,Male,Turkey,1
39.47,43,65576.05,163.48,Crawfordfurt,Male,Uganda,1
48.22,40,73882.91,214.33,Turnerville,Female,Norfolk Island,0
76.76,25,50468.36,230.77,Kylieview,Male,Niue,0
78.74,27,51409.45,234.75,West Zacharyborough,Female,Ukraine,0
67.47,24,60514.05,225.05,Watsonfort,Male,Vanuatu,0
81.17,30,57195.96,231.91,Dayton,Male,United States Minor Outlying Islands,0
89.66,34,52802.58,171.23,Nicholasport,Male,Armenia,0
79.6,28,56570.06,227.37,Whitneyfort,Male,Sweden,0
65.53,19,51049.47,190.17,Coffeytown,Male,Timor-Leste,0
61.87,35,66629.61,250.2,North Johnside,Male,French Southern Territories,0
83.16,41,70185.06,194.95,Robinsonland,Female,Finland,0
44.11,41,43111.41,121.24,Lake David,Male,Saint Vincent and the Grenadines,1
56.57,26,56435.6,131.98,West Ericaport,Female,Senegal,1
83.91,29,53223.58,222.87,Haleberg,Female,Burundi,0
79.8,28,57179.91,229.88,West Michaelport,Male,Bahamas,0
71.23,52,41521.28,122.59,Ericksonmouth,Female,Sweden,1
47.23,43,73538.09,210.87,Yangside,Male,Svalbard & Jan Mayen Islands,1
82.37,30,63664.32,207.44,Estradafurt,Female,Tonga,0
43.63,38,61757.12,135.25,Frankport,Male,Korea,1
70.9,28,71727.51,190.95,Port Juan,Female,Kyrgyz Republic,0
71.9,29,72203.96,193.29,Williamsside,Male,Costa Rica,0
62.12,37,50671.6,105.86,Johnsonview,Male,Liechtenstein,1
67.35,29,47510.42,118.69,East Heidi,Female,Zimbabwe,1
57.99,50,62466.1,124.58,New Angelview,Female,Costa Rica,1
66.8,29,59683.16,248.51,Lake Brandonview,Female,Hungary,1
49.13,32,41097.17,120.49,Morganport,Female,Fiji,1
45.11,58,39799.73,195.69,Browntown,Female,Netherlands,1
54.35,42,76984.21,164.02,Lake Hailey,Female,Sweden,0
61.82,59,57877.15,151.93,Olsonside,Male,Barbados,1
77.75,31,59047.91,240.64,Coxhaven,Male,Paraguay,0
70.61,28,72154.68,190.12,Meaganfort,Female,Italy,0
82.72,31,65704.79,179.82,North Monicaville,Female,Belarus,0
76.87,36,72948.76,212.59,Mullenside,Female,South Georgia and the South Sandwich Islands,0
65.07,34,73941.91,227.53,Princebury,Male,Anguilla,0
56.93,37,57887.64,111.8,Bradleyside,Female,Sierra Leone,1
48.86,35,62463.7,128.37,Elizabethbury,Male,Saint Martin,1
36.56,29,42838.29,195.89,West Ryan,Female,Uganda,1
85.73,32,43778.88,147.75,New Tammy,Male,Saudi Arabia,1
75.81,40,71157.05,229.19,Sanchezland,Female,Greenland,0
72.94,31,74159.69,190.84,Rogerland,Female,Venezuela,0
53.63,54,50333.72,126.29,Vanessaview,Male,Liberia,1
52.35,25,33293.78,147.61,Jessicashire,Male,Mali,1
52.84,51,38641.2,121.57,Melissachester,Male,Bosnia and Herzegovina,1
51.58,33,49822.78,115.91,Johnsontown,Female,Brunei Darussalam,1
42.32,29,63891.29,187.09,New Joshuaport,Male,South Georgia and the South Sandwich Islands,1
55.04,42,43881.73,106.96,Hernandezside,Male,Czech Republic,1
68.58,41,13996.5,171.54,New Williamville,Male,El Salvador,1
85.54,27,48761.14,175.43,Gilbertville,Male,Tokelau,0
71.14,30,69758.31,224.82,Newmanberg,Female,France,0
64.38,19,52530.1,180.47,West Alice,Male,Gabon,0
88.85,40,58363.12,213.96,Cannonbury,Female,Bulgaria,0
66.79,60,60575.99,198.3,Shelbyport,Male,Burkina Faso,1
32.6,45,48206.04,185.47,New Henry,Female,Mayotte,1
43.88,54,31523.09,166.85,Dustinmouth,Male,Somalia,1
56.46,26,66187.58,151.63,South Lisa,Female,Albania,1
72.18,30,69438.04,225.02,Lisamouth,Female,Bolivia,0
52.67,44,14775.5,191.26,New Hollyberg,Female,Jersey,1
80.55,35,68016.9,219.91,Port Brittanyville,Female,,0
67.85,41,78520.99,202.7,East Ronald,Male,Saint Helena,1
75.55,36,31998.72,123.71,South Davidmouth,Male,Bosnia and Herzegovina,1
80.46,29,56909.3,230.78,Carterton,Female,India,0
82.69,29,61161.29,167.41,Rachelhaven,Male,Georgia,0
35.21,39,52340.1,154,New Timothy,Male,United States Minor Outlying Islands,1
36.37,40,47338.94,144.53,North Jessicaville,Male,Kiribati,1
74.07,22,50950.24,165.43,Joneston,Male,Ghana,0
59.96,33,77143.61,197.66,Staceyfort,Female,Samoa,1
85.62,29,57032.36,195.68,South Dianeshire,Female,Iran,0
40.88,33,48554.45,136.18,West Shannon,Male,Costa Rica,1
36.98,31,39552.49,167.87,Micheletown,Male,Northern Mariana Islands,1
35.49,47,36884.23,170.04,North Brittanyburgh,Female,Liechtenstein,1
56.56,26,68783.45,204.47,Port Jasmine,Male,Grenada,0
36.62,32,51119.93,162.44,New Sabrina,Male,Poland,1
77.89,26,64188.5,201.54,West Sharon,Female,,0
49.35,49,44304.13,119.86,Lake Charlottestad,Female,Kenya,1
75.64,29,69718.19,204.82,West Rhondamouth,Male,Iran,0
79.22,27,63429.18,198.79,North Debra,Male,Belgium,0
77.05,34,65756.36,236.08,Villanuevastad,Female,Namibia,0
66.83,46,77871.75,196.17,North Jeremyport,Male,Cyprus,0
76.2,24,47258.59,228.81,Lake Susan,Male,Japan,0
56.64,29,55984.89,123.24,Lake John,Male,Zimbabwe,1
53.33,34,44275.13,111.63,Courtneyfort,Male,Andorra,1
50.63,50,25767.16,142.23,Tammymouth,Female,Luxembourg,1
41.84,49,37605.11,139.32,Lake Vanessa,Female,Cyprus,1
53.92,41,25739.09,125.46,Lake Amanda,Male,Turkey,1
83.89,28,60188.38,180.88,Mariemouth,Male,Hong Kong,0
55.32,43,67682.32,127.65,Port Douglasborough,Female,Netherlands,1
53.22,44,44307.18,108.85,Port Aprilville,Female,United States Virgin Islands,1
43.16,35,25371.52,156.11,Williamsport,Male,Marshall Islands,1
67.51,43,23942.61,127.2,Lake Faith,Female,Western Sahara,1
43.16,29,50666.5,143.04,Wendyville,Male,Saint Vincent and the Grenadines,1
79.89,30,50356.06,241.38,Angelhaven,Male,United States of America,0
84.25,32,63936.5,170.9,New Sean,Male,Angola,0
74.18,28,69874.18,203.87,Lake Lisa,Female,Cayman Islands,0
85.78,34,50038.65,232.78,Valerieland,Female,Swaziland,0
80.96,39,67866.95,225,New Travis,Male,Wallis and Futuna,0
36.91,48,54645.2,159.69,North Samantha,Female,Zimbabwe,1
54.47,23,46780.09,141.52,Holderville,Female,Chad,1
81.98,34,67432.49,212.88,Patrickmouth,Female,Saint Martin,0
79.6,39,73392.28,194.23,Lake Deannaborough,Female,Rwanda,0
57.51,38,47682.28,105.71,Jeffreymouth,Female,Moldova,1
82.3,31,56735.83,232.21,Davieshaven,Female,Gabon,0
73.21,30,51013.37,252.6,Lake Jessicaville,Male,Denmark,1
79.09,32,69481.85,209.72,Hernandezchester,Male,Svalbard & Jan Mayen Islands,0
68.47,28,67033.34,226.64,North Kennethside,Female,Poland,0
83.69,36,68717,192.57,Shelbyport,Female,Fiji,0
83.48,31,59340.99,222.72,Williamport,Male,Philippines,0
43.49,45,47968.32,124.67,Smithside,Female,Vietnam,1
66.69,35,48758.92,108.27,Vanessastad,Female,Jersey,1
48.46,49,61230.03,132.38,Lisamouth,Male,Indonesia,1
42.51,30,54755.71,144.77,Lake Rhondaburgh,Male,Palestinian Territory,1
42.83,34,54324.73,132.38,Cunninghamhaven,Male,Latvia,1
41.46,42,52177.4,128.98,Robertstown,Male,Malta,1
45.99,33,51163.14,124.61,South Mark,Male,Afghanistan,1
